"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Streptomyces virus R4","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__R4virus","Streptomyces virus R4"
"Escherichia virus KP26","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Rogue1virus","Escherichia virus KP26"
"Escherichia virus Rogue1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Rogue1virus","Escherichia virus Rogue1"
"Escherichia virus Rtp","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Rtpvirus","Escherichia virus Rtp"
"Enterococcus virus BC611","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sap6virus","Enterococcus virus BC611"
"Streptococcus virus SPQS1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sap6virus","Streptococcus virus SPQS1"
"Mycobacterium virus Papyrus","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Send513virus","Mycobacterium virus Papyrus"
"Streptococcus phage TP 778L","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi11virus","Streptococcus phage TP 778L"
"Streptococcus phage TP J34","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi11virus","Streptococcus phage TP J34"
"Streptococcus virus 7201","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","Streptococcus virus 7201"
"Streptococcus virus DT1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","Streptococcus virus DT1"
"Streptococcus virus Sfi21","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","Streptococcus virus Sfi21"
"Streptococcus virus phiAbc2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","Streptococcus virus phiAbc2"
"Acinetobacter phage Bphi B1251","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Acinetobacter phage Bphi B1251"
"Actinomyces phage xhp1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Actinomyces phage xhp1"
"Actinoplanes phage phiAsp2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Actinoplanes phage phiAsp2"
"Bacillus phage BCJA1c","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage BCJA1c"
"Bacillus phage BtCS33","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage BtCS33"
"Bacillus phage PM1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage PM1"
"Bacillus phage SPP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage SPP1"
"Bacillus phage phBC6A51","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage phBC6A51"
"Bacillus phage phBC6A52","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage phBC6A52"
"Bacillus phage phIS3501","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage phIS3501"
"Bacillus phage phi105","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacillus phage phi105"
"Bacteroides phage B124 14","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacteroides phage B124 14"
"Bacteroides phage B40 8","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Bacteroides phage B40 8"
"Brochothrix phage BL3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Brochothrix phage BL3"
"Brochothrix phage NF5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Brochothrix phage NF5"
"Clavibacter phage CMP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clavibacter phage CMP1"
"Clostridium phage PhiS63","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clostridium phage PhiS63"
"Clostridium phage phi3626","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clostridium phage phi3626"
"Clostridium phage phiCP39 O","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clostridium phage phiCP39 O"
"Clostridium phage phiCTP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clostridium phage phiCTP1"
"Clostridium phage vB CpeS CP51","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Clostridium phage vB CpeS CP51"
"Corynebacterium phage BFK20","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Corynebacterium phage BFK20"
"Corynebacterium phage P1201","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Corynebacterium phage P1201"
"Enterobacter phage Enc34","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacter phage Enc34"
"Enterobacteria phage ES18","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage ES18"
"Enterobacteria phage HK225","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage HK225"
"Enterobacteria phage YYZ 2008","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage YYZ 2008"
"Enterobacteria phage cdtI","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage cdtI"
"Enterobacteria phage mEp237","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage mEp237"
"Enterobacteria phage mEp460","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterobacteria phage mEp460"
"Enterococcus phage EFAP 1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Enterococcus phage EFAP 1"
"Escherichia phage HK639","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Escherichia phage HK639"
"Geobacillus virus E2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Geobacillus virus E2"
"Klebsiella phage phiKO2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Klebsiella phage phiKO2"
"Lactobacillus phage A2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage A2"
"Lactobacillus phage ATCC 8014 B2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage ATCC 8014 B2"
"Lactobacillus phage J1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage J1"
"Lactobacillus phage JCL1032","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage JCL1032"
"Lactobacillus phage LF1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage LF1"
"Lactobacillus phage Lc Nu","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage Lc Nu"
"Lactobacillus phage Lrm1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage Lrm1"
"Lactobacillus phage Sha1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage Sha1"
"Lactobacillus phage phiGb1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage phiGb1"
"Lactobacillus phage phiadh","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage phiadh"
"Lactobacillus phage phig1e","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus phage phig1e"
"Lactobacillus prophage Lj928","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus prophage Lj928"
"Lactobacillus prophage Lj965","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactobacillus prophage Lj965"
"Lactococcus phage 1706","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage 1706"
"Lactococcus phage 949","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage 949"
"Lactococcus phage BK5 T","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage BK5 T"
"Lactococcus phage BM13","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage BM13"
"Lactococcus phage P087","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage P087"
"Lactococcus phage P335 sensu lato","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage P335 sensu lato"
"Lactococcus phage Tuc2009","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage Tuc2009"
"Lactococcus phage bIL285","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage bIL285"
"Lactococcus phage bIL286","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage bIL286"
"Lactococcus phage bIL309","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage bIL309"
"Lactococcus phage bIL310","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage bIL310"
"Lactococcus phage bIL311","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage bIL311"
"Lactococcus phage ul36","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Lactococcus phage ul36"
"Listeria phage A500","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Listeria phage A500"
"Microbacterium phage Min1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Microbacterium phage Min1"
"Mycobacterium phage KayaCho","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Mycobacterium phage KayaCho"
"Pseudomonas phage B3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Pseudomonas phage B3"
"Pseudomonas phage F10","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Pseudomonas phage F10"
"Pseudomonas phage PAJU2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Pseudomonas phage PAJU2"
"Pseudomonas phage phi2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Pseudomonas phage phi2"
"Pseudomonas phage phi297","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Pseudomonas phage phi297"
"Rhizobium phage 16 3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhizobium phage 16 3"
"Rhodobacter phage RcapMu","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhodobacter phage RcapMu"
"Rhodococcus phage REQ1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhodococcus phage REQ1"
"Rhodococcus phage REQ2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhodococcus phage REQ2"
"Rhodococcus phage REQ3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhodococcus phage REQ3"
"Rhodococcus phage RRH1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Rhodococcus phage RRH1"
"Salmonella phage SPN3UB","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Salmonella phage SPN3UB"
"Salmonella phage SSU5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Salmonella phage SSU5"
"Serratia phage Eta","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Serratia phage Eta"
"Shigella phage pSf 1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Shigella phage pSf 1"
"Staphylococcus phage StB20","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Staphylococcus phage StB20"
"Stenotrophomonas phage S1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Stenotrophomonas phage S1"
"Streptococcus phage MM1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Streptococcus phage MM1"
"Streptococcus phage P9","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Streptococcus phage P9"
"Streptococcus phage SM1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","Streptococcus phage SM1"
